StoreID,StoreCountry
7793989562498223120,BRA
5301108587679203543,BRA
2908896877692945358,BRA
2718131790848668199,BRA
7819332417840564556,BRA
6524776804058172893,FRA
66413934723788761,FRA
4351033551716776755,FRA
8696981135006798460,FRA
7637657206478657136,FRA
3440206128053656625,FRA
4439061635768162329,FRA
5133673095652923883,FRA
395121715121347764,FRA
2353472391675354780,FRA
3189779657740824231,FRA
3645972967113443139,FRA
1405326107264662376,FRA
6715004496566724684,FRA
4657427010934529687,FRA
5141469390548244179,FRA
8087566301734205506,FRA
5319520798472502469,FRA
2529501982680972497,FRA
7271711707640732473,FRA
1214304830264514658,FRA
7862042852690728467,FRA
9102530484750063684,FRA
5816015358434241649,FRA
537484331740229372,FRA
566147414559661838,FRA
7832379581644440942,FRA
6201641125661257878,FRA
2575650684732624793,FRA
2926357575416777616,FRA
8197427856273121244,FRA
1668275326982283564,FRA
8914834687623641033,FRA
2074248685703032872,FRA
5971054580530411636,FRA
9126452515312107143,FRA
5192076187294854305,FRA
6331685190189055692,FRA
5843782136283714332,FRA
78219604822011325,FRA
8295047758698983325,FRA
1532184179746981163,FRA
3238722116700645523,FRA
6453738532895670339,FRA
5223030547824728926,FRA
3244221581762139033,FRA
3007242794823371921,FRA
6815651368992987460,FRA
8569574743819993603,FRA
194962630225976750,FRA
3551967024983220619,FRA
1433209055786027642,FRA
1616795221761587137,FRA
8210430259467678860,DEU
5915231536675270404,DEU
8955674125502474319,DEU
7752725036332119925,DEU
2463984743985258029,DEU
8093793881868997871,AUS
3087473989102446590,AUS
2940401694407718221,AUS
3044180916065588963,AUS
3841586011955476393,AUS
4336471086562755602,GBR
4395455522601023505,GBR
7753611140103255110,GBR
4136015565617484232,GBR
175701469087560177,GBR
6127054581985389983,GBR
7527000790549811710,GBR
7820602936181408084,GBR
7179762839331041328,GBR
6545745389225786100,GBR
4778941415045664463,GBR
7202280531490399729,GBR
3681873479979564984,GBR
3825663737988412755,GBR
2428525303261109779,GBR
6019714446315598857,GBR
1939152036284327390,GBR
8445277852246572232,GBR
1615289147823067129,GBR
2816903872037997573,ARE
8829228342278779880,ARE
6955635209365423660,ARE
1948576091747231438,USA
3895981279557689106,USA
8870869076532985493,USA
7487115623072111515,USA
973013932478036600,USA
5678786247618375447,USA
5093287845573685621,USA
5526611239141492284,USA
7495193893526414132,USA
5479640649772560100,USA
166744506897919786,USA
1542857674214406199,USA
1432849376755534471,USA
5784014909123951544,BRA
161904613920865762,FRA
3592590130872220188,FRA
8471248444529694161,FRA
1503858328529484276,FRA
2938662308991212439,FRA
2249998716273143977,DEU
3126516530596669596,AUS
6886297208628743089,GBR
5671017241940377996,GBR
4891347985003025665,ARE
1001238403926100454,ARE
683952070702912396,USA
8055162002861087225,USA
6069731517539709002,USA
3135242802568536781,USA
6633447676839353527,USA
837394958528166636,BRA
7309933876715185974,BRA
8128565300713753585,BRA
716642894623598302,BRA
1424405598394726694,FRA
8949510663407549839,FRA
4914830509617637304,FRA
8209899226159019918,FRA
4576770997379937176,FRA
5724711384177528688,FRA
4585287512113239305,FRA
4035191936583226237,FRA
6271452772491260590,FRA
6423545256881746503,FRA
